time,link_id,demand
0,E101,350
0,E102,350
0,E103,350
0,E104,350
0,E105,350
0,E106,350
0,E107,350
0,E108,350
0,E109,350
0,E110,350
0,E111,350
0,E112,350
0,E113,350
0,E114,350
0,E115,350
0,E116,350
0,E117,350
0,E118,350
0,E119,350
0,E120,350

1800,E101,0
1800,E102,0
1800,E103,0
1800,E104,0
1800,E105,0
1800,E106,0
1800,E107,0
1800,E108,0
1800,E109,0
1800,E110,0
1800,E111,0
1800,E112,0
1800,E113,0
1800,E114,0
1800,E115,0
1800,E116,0
1800,E117,0
1800,E118,0
1800,E119,0
1800,E120,0
